case  seed  K   E(engine)   H(header)    E-H   pred   logZ(IS)    ESS  lnK!  ML-loglik       BIC       ICL   it
K2     10  3    -1428.16    -1431.14  2.980  2.967   -1423.11      5  1.79   -1390.09    2865.9    3134.1 3000
K2     10  4    -1445.38    -1451.29  5.903  5.833   -1436.40     10  3.18   -1388.42    2924.9    3192.9  898
      seed 10: dE(K->K+1) [255.84, -16.23, -17.22]  dH [254.85, -18.21, -20.15]  dlogZ [255.98, -11.32, -13.28]
K2     11  1    -1589.20    -1589.20  0.000  0.000   -1589.20   2857  0.00   -1585.52    3178.8    3178.8    2
K2     11  2    -1336.22    -1337.22  0.999  1.000   -1335.86   1164  0.69   -1315.88    2670.6    2811.0   45
K2     11  3    -1353.95    -1356.93  2.989  2.994   -1348.57      5  1.79   -1312.23    2709.9    2966.7 2757
K2     11  4    -1369.85    -1375.77  5.920  5.866   -1358.87      3  3.18   -1308.37    2764.2    3043.1 2056
      seed 11: dE(K->K+1) [252.98, -17.72, -15.91]  dH [251.98, -19.71, -18.84]  dlogZ [253.34, -12.71, -10.3]
K3      0  1    -3357.16    -3357.16  0.000  0.000   -3357.16   2860  0.00   -3353.14    6714.8    6714.8    2
K3      0  2    -2790.38    -2791.37  0.999  1.000   -2789.68    683  0.69   -2768.42    5579.3    5973.0   60
K3      0  3    -2780.17    -2783.17  2.995  2.999   -2777.16     21  1.79   -2730.20    5553.7    6013.6  228
K3      0  4    -2803.05    -2809.02  5.967  5.956   -2795.36      6  3.18   -2728.00    5617.2    6108.9 1821
      seed 0: dE(K->K+1) [566.78, 10.2, -22.87]  dH [565.78, 8.21, -25.85]  dlogZ [567.48, 12.52, -18.2]
K3      1  1    -3269.62    -3269.62 -0.000  0.000   -3269.62   2865  0.00   -3265.62    6539.7    6539.7    2
K3      1  2    -2766.15    -2767.15  0.999  1.000   -2765.52    590  0.69   -2744.15    5530.6    5872.2   54
K3      1  3    -2757.03    -2760.03  2.994  2.999   -2753.98     27  1.79   -2706.69    5506.4    5903.0  205
K3      1  4    -2786.61    -2792.58  5.969  5.995   -2778.87      6  3.18   -2699.34    5559.4    5967.9 1874
      seed 1: dE(K->K+1) [503.47, 9.12, -29.58]  dH [502.47, 7.13, -32.55]  dlogZ [504.11, 11.54, -24.89]
K3      2  1    -3359.08    -3359.08  0.000  0.000   -3359.08   2867  0.00   -3355.06    6718.6    6718.6    2
K3      2  2    -2811.69    -2812.69  0.999  1.000   -2810.87     58  0.69   -2789.64    5621.7    5988.0   53
K3      2  3    -2802.21    -2805.20  2.995  2.999   -2798.34      7  1.79   -2752.66    5598.7    6300.9  198
K3      2  4    -2825.75    -2831.71  5.968  5.954   -2816.78      5  3.18   -2749.20    5659.6    6292.4 2928
      seed 2: dE(K->K+1) [547.39, 9.48, -23.54]  dH [546.39, 7.49, -26.51]  dlogZ [548.21, 12.54, -18.45]
K3      3  1    -3305.90    -3305.90  0.000  0.000   -3305.90   2860  0.00   -3301.89    6612.3    6612.3    2
K3      3  2    -2724.86    -2725.86  0.999  1.000   -2724.40   1076  0.69   -2702.68    5447.7    5735.0   54
K3      3  3    -2722.02    -2725.01  2.993  2.999   -2718.71     33  1.79   -2671.84    5436.8    5892.8  415
K3      3  4    -2745.78    -2751.73  5.955  5.938   -2737.87     14  3.18   -2665.67    5492.2    5868.9 3000
      seed 3: dE(K->K+1) [581.04, 2.84, -23.76]  dH [580.04, 0.85, -26.72]  dlogZ [581.5, 5.69, -19.16]
K3      4  1    -3292.23    -3292.23 -0.000  0.000   -3292.23   2858  0.00   -3288.22    6584.9    6584.9    2
K3      4  2    -2804.73    -2805.73  0.999  1.000   -2804.04    161  0.69   -2782.55    5607.4    5890.0   56
K3      4  3    -2794.94    -2797.94  2.993  2.999   -2791.52     14  1.79   -2744.55    5582.2    6026.5  190
K3      4  4    -2818.62    -2824.57  5.953  5.935   -2810.74      3  3.18   -2738.97    5638.8    6165.3 2323
      seed 4: dE(K->K+1) [487.49, 9.79, -23.68]  dH [486.5, 7.8, -26.64]  dlogZ [488.19, 12.52, -19.22]
K3      5  1    -3331.79    -3331.79  0.000  0.000   -3331.79   2860  0.00   -3327.78    6664.0    6664.0    2
K3      5  2    -2771.80    -2772.80  0.999  1.000   -2770.96     79  0.69   -2749.64    5541.7    5865.7   54
K3      5  3    -2745.85    -2748.85  2.994  2.999   -2742.74     38  1.79   -2695.77    5484.8    6029.9  186
K3      5  4    -2769.54    -2775.50  5.960  5.943   -2760.21      2  3.18   -2691.46    5544.0    6129.6 2517
      seed 5: dE(K->K+1) [559.99, 25.95, -23.68]  dH [558.99, 23.95, -26.65]  dlogZ [560.83, 28.22, -17.47]
K3      6  1    -3314.15    -3314.15  0.000  0.000   -3314.15   2860  0.00   -3310.14    6628.8    6628.8    2
K3      6  2    -2781.74    -2782.74  0.999  1.000   -2781.06    761  0.69   -2759.63    5561.6    5911.2   60
K3      6  3    -2770.97    -2773.96  2.995  2.999   -2767.19      9  1.79   -2721.03    5535.2    6073.6  314
K3      6  4    -2793.05    -2799.01  5.969  5.956   -2784.81      4  3.18   -2717.07    5595.1    6089.9 1813
      seed 6: dE(K->K+1) [532.41, 10.77, -22.08]  dH [531.41, 8.78, -25.05]  dlogZ [533.09, 13.88, -17.62]
K3      7  1    -3356.80    -3356.80  0.000  0.000   -3356.80   2862  0.00   -3352.78    6714.0    6714.0    2
K3      7  2    -2855.69    -2856.69  0.999  1.000   -2855.03    534  0.69   -2833.58    5709.6    6054.1   51
K3      7  3    -2858.45    -2861.44  2.995  2.999   -2854.87     42  1.79   -2808.77    5710.9    6244.0  338
K3      7  4    -2881.66    -2887.63  5.969  5.954   -2873.40      7  3.18   -2804.51    5770.2    6402.0 2045
      seed 7: dE(K->K+1) [501.11, -2.76, -23.22]  dH [500.11, -4.75, -26.19]  dlogZ [501.76, 0.16, -18.53]
K3      8  1    -3332.96    -3332.96 -0.000  0.000   -3332.97   2862  0.00   -3328.95    6666.4    6666.4    2
K3      8  2    -2730.68    -2731.68  0.999  1.000   -2730.18    793  0.69   -2708.48    5459.4    5786.0   44
K3      8  3    -2724.77    -2727.76  2.995  2.999   -2721.05      9  1.79   -2674.93    5443.1    5976.9  349
K3      8  4    -2748.59    -2754.55  5.962  5.945   -2740.01      6  3.18   -2670.58    5502.2    6079.4 2880
      seed 8: dE(K->K+1) [602.28, 5.91, -23.82]  dH [601.28, 3.92, -26.79]  dlogZ [602.78, 9.13, -18.96]
K3      9  1    -3347.06    -3347.06  0.000  0.000   -3347.07   2859  0.00   -3343.05    6694.6    6694.6    2
